Date,CCMP Index,INDU Index,TRAN Index,UTIL Index,NYA Index,SPX Index,OEX Index,XAX Index,OMX Index
3/22/2011,2683.87,12018.63,5099.93,406.35,8228.41,1293.77,579.68,2318.38,1105.94
3/23/2011,2698.3,12086.02,5096.58,406.04,8248.83,1297.54,581.5,2333.34,1113.27
3/24/2011,2736.42,12170.56,5165.88,407.84,8311.61,1309.66,586.37,2320.74,1127.08
3/25/2011,2743.06,12220.59,5207.57,408.07,8321.78,1313.8,587.89,2325.18,1127.1
3/28/2011,2730.68,12197.88,5229.08,406.07,8296.52,1310.19,587.05,2310.31,1132.27
3/29/2011,2756.89,12279.01,5261.49,409.51,8345.38,1319.44,590.82,2345.06,1130.71
3/30/2011,2776.79,12350.61,5276.75,414.25,8416.69,1328.26,594.32,2374.01,1138.06
3/31/2011,2781.07,12319.73,5299.89,413.06,8404.98,1325.83,592.72,2367.41,1134.87
4/1/2011,2789.6,12376.72,5370.47,415.8,8469.34,1332.41,595.02,2396.82,1145.6
4/4/2011,2789.19,12400.03,5378.96,415.16,8482.41,1332.87,595.33,2412.28,1151.27
4/5/2011,2791.19,12393.9,5342.92,413.88,8488.39,1332.63,595.08,2443.5,1149.13
4/6/2011,2799.82,12426.75,5343.98,417.05,8508.23,1335.54,596.79,2433.82,1156.52
4/7/2011,2796.14,12409.49,5316.54,415.28,8489.33,1333.51,596.2,2422.14,1145.56
4/8/2011,2780.42,12380.05,5228.3,414.45,8483.94,1328.17,594.43,2447.89,1151.37
4/11/2011,2771.51,12381.11,5223.27,408.51,8445.77,1324.46,592.9,2402.51,1148.69
4/12/2011,2744.79,12263.58,5239.48,407.67,8360.46,1314.16,588.32,2374.1,1131.72
4/13/2011,2761.52,12270.99,5232.38,409.45,8367.31,1314.41,587.7,2389.97,1137.87
4/14/2011,2760.22,12285.15,5250.04,411.88,8374.16,1314.52,587.32,2402,1129.88
4/15/2011,2764.65,12341.83,5284.74,416.07,8400.31,1319.68,588.56,2408.68,1123.81
4/18/2011,2735.38,12201.59,5211.81,412.5,8277.11,1305.14,582.5,2374.86,1106.79
4/19/2011,2744.97,12266.75,5238.75,412.48,8332.03,1312.62,585.89,2403.77,1116.84
4/20/2011,2802.51,12453.54,5258.76,417.7,8457.65,1330.36,593.02,2438.49,1140.58
4/21/2011,2820.16,12505.99,5290.72,418.37,8504.36,1337.38,595.8,2452.74,1141.13
4/25/2011,2825.88,12479.88,5300.81,418.49,8485.25,1335.25,595.19,2446.62,1141.13
4/26/2011,2847.54,12595.37,5398.91,422.78,8554.99,1347.24,600.62,2450.69,1153.46
4/27/2011,2869.88,12690.96,5445.91,425.76,8609.28,1355.66,604.67,2481.21,1154.47
4/28/2011,2872.53,12763.31,5510.06,428.42,8639.73,1360.48,606.66,2474.7,1161.46
